ts_code,report_year,report_type,ann_date,roe,roe_dt,roa,npta,grossprofit_margin,profit_dedt,op_yoy,ebt_yoy,netprofit_yoy,debt_to_assets,assets_to_eqt,current_ratio,quick_ratio,or_yoy,tr_yoy,basic_eps,dt_eps,bps,created_at,updated_at
600293.SH,2003,4,2004-02-26,1.0975,0.7431,2.8036,0.6593,18.6664,5473710.41,270.3410,76.2512,50.3088,43.6482,1.7746,1.4550,1.0828,6.3007,6.3007,,,2.6580,2026-05-07 00:32:43.137673+08:00,2026-05-07 00:32:43.137788+08:00
600295.SH,2003,4,2004-04-22,5.7923,5.9702,6.2881,4.0678,25.9424,180614690.00,16.9028,14.9024,7.8896,35.9968,1.5624,1.9479,0.5646,31.7007,31.7007,,,3.0200,2026-05-07 00:32:43.137673+08:00,2026-05-07 00:32:43.137788+08:00
600296.SH,2003,4,2004-04-16,11.2937,11.5407,7.5391,5.1587,18.3363,172037787.00,4.5801,4.2013,0.9545,49.8103,1.9924,1.6486,0.7189,40.0449,40.0449,,,5.6190,2026-05-07 00:32:43.137673+08:00,2026-05-07 00:32:43.137788+08:00
600297.SH,2003,4,2004-03-26,2.4583,2.1341,2.2871,1.2803,20.6525,11674634.37,-36.2461,-46.2712,-43.8670,47.4321,1.9023,1.6364,1.3911,8.2521,8.2521,,,4.8100,2026-05-07 00:32:43.137673+08:00,2026-05-07 00:32:43.137788+08:00
600298.SH,2003,4,2004-02-28,6.9314,6.3329,7.1324,5.5462,38.6958,37899205.40,31.6870,30.8519,40.6016,19.8564,1.2478,1.8806,1.1070,34.4962,34.4962,,,4.5635,2026-05-07 00:32:43.137673+08:00,2026-05-07 00:32:43.137788+08:00
600299.SH,2003,4,2004-02-17,7.0078,6.9700,5.1959,2.5284,14.9676,57850431.44,13.1577,16.1070,15.6081,63.6756,2.7530,0.8325,0.5909,56.4825,56.4825,,,3.6400,2026-05-07 00:32:43.137673+08:00,2026-05-07 00:32:43.137788+08:00
600300.SH,2003,4,2004-03-27,7.4550,4.1118,7.9945,5.6320,24.5563,55306492.86,10.6084,12.5031,6.6432,32.0106,1.4708,1.8487,1.4741,21.1927,21.1927,,,4.2400,2026-05-07 00:32:43.137673+08:00,2026-05-07 00:32:43.137788+08:00
600301.SH,2003,4,2004-03-18,9.2130,9.4552,8.1907,6.1282,23.7035,51368996.01,58.7353,56.7296,53.2097,34.9430,1.5371,1.1779,0.9617,33.2479,33.2479,,,3.0200,2026-05-07 00:32:43.137673+08:00,2026-05-07 00:32:43.137788+08:00
600302.SH,2003,4,2004-02-05,15.2234,15.1462,13.2357,10.6164,29.6129,110595001.70,51.3663,51.6081,55.7530,28.2477,1.3937,2.4816,1.6580,24.7495,24.7495,,,2.4600,2026-05-07 00:32:43.137673+08:00,2026-05-07 00:32:43.137788+08:00
600303.SH,2003,4,2004-03-02,19.2416,19.1322,9.4110,6.3531,18.6478,93306344.87,133.0639,140.7181,152.8178,64.8942,2.8485,1.2201,0.9035,228.2847,228.2847,,,3.3000,2026-05-07 00:32:43.137673+08:00,2026-05-07 00:32:43.137788+08:00
600305.SH,2003,4,2004-04-23,1.2898,0.4706,2.1238,0.0951,32.7913,1802464.04,-73.4865,-77.7365,-80.5601,75.2666,4.0431,1.2412,0.6086,26.3664,26.3664,,,3.0280,2026-05-07 00:32:43.137673+08:00,2026-05-07 00:32:43.137788+08:00
600306.SH,2003,4,2004-04-22,4.4967,3.9826,3.6748,2.0428,15.0792,17403670.40,3.9471,12.5742,11.4145,54.0196,2.1748,1.2221,0.9305,44.1918,44.1918,,,2.5100,2026-05-07 00:32:43.137673+08:00,2026-05-07 00:32:43.137788+08:00
