code,name,track_index,track_index_code,fund_type,invest_strategy,list_date,management_fee,custody_fee,fund_company,scale,created_at,updated_at
159146,电力ETF华宝,电力指数,,,,,,,,7.72,2026-05-04 19:51:39.326881+08:00,
159147,电池ETF南方,,,,,,,,,20.45,2026-05-04 19:51:39.326881+08:00,
159148,石油ETF富国,能源指数,,,,,,,,3.43,2026-05-04 19:51:39.326881+08:00,
159149,创业板新能源ETF工银,创业板指,,,,,,,,0.84,2026-05-04 19:51:39.326881+08:00,
159150,深证50ETF易方达,上证50,,,,,,,,1.44,2026-05-04 19:51:39.326881+08:00,
159151,食品ETF华夏,,,,,,,,,1.16,2026-05-04 19:51:39.326881+08:00,
159152,港股通科技ETF平安,科技指数,,,,,,,,8.12,2026-05-04 19:51:39.326881+08:00,
159153,消费电子ETF鹏华,消费指数,,,,,,,,0.77,2026-05-04 19:51:39.326881+08:00,
159155,电池ETF大成,,,,,,,,,5.03,2026-05-04 19:51:39.326881+08:00,
159156,电池ETF万家,,,,,,,,,2.97,2026-05-04 19:51:39.326881+08:00,
159157,有色金属ETF天弘,有色指数,,,,,,,,68.56,2026-05-04 19:51:39.326881+08:00,
159158,电力ETF景顺,电力指数,,,,,,,,12.62,2026-05-04 19:51:39.326881+08:00,
159159,公用事业ETF国投瑞银,公用事业指数,,,,,,,,1.73,2026-05-04 19:51:39.326881+08:00,
159160,电池ETF东财,,,,,,,,,1.25,2026-05-04 19:51:39.326881+08:00,
159162,工业有色ETF鹏华,有色指数,,,,,,,,4.40,2026-05-04 19:51:39.326881+08:00,
159163,有色ETF泰康,有色指数,,,,,,,,2.02,2026-05-04 19:51:39.326881+08:00,
159165,养殖ETF永赢,,,,,,,,,1.28,2026-05-04 19:51:39.326881+08:00,
159166,现金流ETF长城,黄金,,,,,,,,7.00,2026-05-04 19:51:39.326881+08:00,
159167,港股通医疗ETF工银,医药指数,,,,,,,,2.23,2026-05-04 19:51:39.326881+08:00,
159168,有色ETF富国,有色指数,,,,,,,,2.17,2026-05-04 19:51:39.326881+08:00,
159169,恒生生物科技ETF广发,科技指数,,,,,,,,2.01,2026-05-04 19:51:39.326881+08:00,
159170,港股通互联网ETF永赢,港股指数,,,,,,,,3.10,2026-05-04 19:51:39.326881+08:00,
159171,工业有色ETF博时,有色指数,,,,,,,,2.17,2026-05-04 19:51:39.326881+08:00,
