ts_code,name,fullname,enname,list_date,delist_date,market,curr_type,list_status,created_at,updated_at
02251.HK,鹰瞳科技-B,北京鹰瞳科技发展股份有限公司,"Beijing Airdoc Technology Co., Ltd.",2021-11-05,,主板,HKD,L,2026-05-20 17:44:45.609022,2026-05-20 17:44:45.609022
02252.HK,微创机器人-B,上海微创医疗机器人(集团)股份有限公司,"Shanghai MicroPort MedBot (Group) Co., Ltd.",2021-11-02,,主板,HKD,L,2026-05-20 17:44:45.609022,2026-05-20 17:44:45.609022
02255.HK,海昌海洋公园,海昌海洋公园控股有限公司,Haichang Ocean Park Holdings Ltd.,2014-03-13,,主板,HKD,L,2026-05-20 17:44:45.609022,2026-05-20 17:44:45.609022
02256.HK,和誉-B,和誉开曼有限责任公司,Abbisko Cayman Limited,2021-10-13,,主板,HKD,L,2026-05-20 17:44:45.609022,2026-05-20 17:44:45.609022
02257.HK,圣诺医药-B,圣诺医药,Sirnaomics Ltd.,2021-12-30,,主板,HKD,L,2026-05-20 17:44:45.609022,2026-05-20 17:44:45.609022
02258.HK,华滋国际海洋,华滋国际海洋股份有限公司,Watts International Maritime Company Limited,2018-11-19,,主板,HKD,L,2026-05-20 17:44:45.609022,2026-05-20 17:44:45.609022
02259.HK,紫金黄金国际,紫金黄金国际有限公司,Zijin Gold International Company Limited,2025-09-30,,主板,HKD,L,2026-05-20 17:44:45.609022,2026-05-20 17:44:45.609022
02260.HK,环龙控股,环龙控股有限公司,Vanov Holdings Company Limited,2022-01-11,,主板,HKD,L,2026-05-20 17:44:45.609022,2026-05-20 17:44:45.609022
02262.HK,梁志天设计集团,梁志天设计集团有限公司,Steve Leung Design Group Limited,2018-07-05,,主板,HKD,L,2026-05-20 17:44:45.609022,2026-05-20 17:44:45.609022
02263.HK,富石金融,富石金融控股有限公司,Fu Shek Financial Holdings Limited,2020-02-19,,主板,HKD,L,2026-05-20 17:44:45.609022,2026-05-20 17:44:45.609022
02265.HK,鸿承环保科技,鸿承环保科技有限公司,Hongcheng Environmental Technology Company Limited,2021-11-12,,主板,HKD,L,2026-05-20 17:44:45.609022,2026-05-20 17:44:45.609022
02266.HK,黎氏企业,黎氏企业控股有限公司,Lai Si Enterprise Holding Limited,2017-02-10,,主板,HKD,L,2026-05-20 17:44:45.609022,2026-05-20 17:44:45.609022
02268.HK,药明合联,药明合联生物技术有限公司,WuXi XDC Cayman Inc.,2023-11-17,,主板,HKD,L,2026-05-20 17:44:45.609022,2026-05-20 17:44:45.609022
02269.HK,药明生物,药明生物技术有限公司,Wuxi Biologics (Cayman) Inc.,2017-06-13,,主板,HKD,L,2026-05-20 17:44:45.609022,2026-05-20 17:44:45.609022
02270.HK,德商产投服务,德商产投服务集团有限公司,"Desun Real Estate Investment Services Group Co., Ltd.",2021-12-17,,主板,HKD,L,2026-05-20 17:44:45.609022,2026-05-20 17:44:45.609022
02271.HK,众安智慧生活,众安智慧生活服务有限公司,Zhong An Intelligent Living Service Limited,2023-07-18,,主板,HKD,L,2026-05-20 17:44:45.609022,2026-05-20 17:44:45.609022
02273.HK,固生堂,固生堂控股有限公司,Gushengtang Holdings Limited,2021-12-10,,主板,HKD,L,2026-05-20 17:44:45.609022,2026-05-20 17:44:45.609022
02276.HK,康耐特光学,上海康耐特光学科技集团股份有限公司,"Shanghai Conant Optical Co., Ltd.",2021-12-16,,主板,HKD,L,2026-05-20 17:44:45.609022,2026-05-20 17:44:45.609022
02279.HK,雍禾医疗,雍禾医疗集团有限公司,"Yonghe Medical Group Co., Ltd.",2021-12-13,,主板,HKD,L,2026-05-20 17:44:45.609022,2026-05-20 17:44:45.609022
02280.HK,慧聪集团,慧聪集团有限公司,HC Group Inc.,2014-10-10,,主板,HKD,L,2026-05-20 17:44:45.609022,2026-05-20 17:44:45.609022
02281.HK,兴泸水务,泸州市兴泸水务(集团)股份有限公司,"Luzhou Xinglu Water (Group) Co., Ltd.",2017-03-31,,主板,HKD,L,2026-05-20 17:44:45.609022,2026-05-20 17:44:45.609022
02282.HK,美高梅中国,美高梅中国控股有限公司,MGM China Holdings Limited,2011-06-03,,主板,HKD,L,2026-05-20 17:44:45.609022,2026-05-20 17:44:45.609022
02283.HK,东江集团控股,东江集团(控股)有限公司,TK Group (Holdings) Ltd.,2013-12-20,,主板,HKD,L,2026-05-20 17:44:45.609022,2026-05-20 17:44:45.609022
02285.HK,泉峰控股,泉峰控股有限公司,Chervon Holdings Limited,2021-12-30,,主板,HKD,L,2026-05-20 17:44:45.609022,2026-05-20 17:44:45.609022
02286.HK,辰兴发展,辰兴发展控股有限公司,Chen Xing Development Holdings Limited,2015-07-03,,主板,HKD,L,2026-05-20 17:44:45.609022,2026-05-20 17:44:45.609022
02288.HK,宏基资本,宏基资本有限公司,Rykadan Capital Limited,2009-08-21,,主板,HKD,L,2026-05-20 17:44:45.609022,2026-05-20 17:44:45.609022
02289.HK,创美药业,创美药业股份有限公司,"Charmacy Pharmaceutical Co., Ltd.",2015-12-14,,主板,HKD,L,2026-05-20 17:44:45.609022,2026-05-20 17:44:45.609022
02291.HK,心泰医疗,乐普心泰医疗科技(上海)股份有限公司,"Lepu Scientech Medical Technology (Shanghai) Co., Ltd.",2022-11-08,,主板,HKD,L,2026-05-20 17:44:45.609022,2026-05-20 17:44:45.609022
02293.HK,百本医护,百本医护控股有限公司,Bamboos Health Care Holdings Ltd.,2017-03-01,,主板,HKD,L,2026-05-20 17:44:45.609022,2026-05-20 17:44:45.609022
02295.HK,丰城控股,丰城控股有限公司,Maxicity Holdings Limited,2021-12-31,,主板,HKD,L,2026-05-20 17:44:45.609022,2026-05-20 17:44:45.609022
02297.HK,润迈德-B,润迈德医疗有限公司,Rainmed Medical Limited,2022-07-08,,主板,HKD,L,2026-05-20 17:44:45.609022,2026-05-20 17:44:45.609022
02298.HK,都市丽人,都市丽人(中国)控股有限公司,Cosmo Lady (China) Holdings Company Limited,2014-06-26,,主板,HKD,L,2026-05-20 17:44:45.609022,2026-05-20 17:44:45.609022
02299.HK,百宏实业,百宏实业控股有限公司,Billion Industrial Holdings Limited,2011-05-18,,主板,HKD,L,2026-05-20 17:44:45.609022,2026-05-20 17:44:45.609022
02302.HK,中核国际,中核国际有限公司,CNNC International Limited,2003-01-06,,主板,HKD,L,2026-05-20 17:44:45.609022,2026-05-20 17:44:45.609022
02306.HK,乐华娱乐,乐华娱乐集团,YH Entertainment Group,2023-01-19,,主板,HKD,L,2026-05-20 17:44:45.609022,2026-05-20 17:44:45.609022
02307.HK,锦兴国际控股,锦兴国际控股有限公司,Kam Hing International Holdings Ltd.,2004-09-23,,主板,HKD,L,2026-05-20 17:44:45.609022,2026-05-20 17:44:45.609022
02309.HK,大象未来集团,大象未来集团,ZO Future Group,2002-11-12,,主板,HKD,L,2026-05-20 17:44:45.609022,2026-05-20 17:44:45.609022
02310.HK,时代环球集团,时代环球集团控股有限公司,Times Universal Group Holdings Limited,2003-07-04,,主板,HKD,L,2026-05-20 17:44:45.609022,2026-05-20 17:44:45.609022
02312.HK,LONG投资集团,Long投资集团,Long Investment Corp,2002-10-28,,主板,HKD,L,2026-05-20 17:44:45.609022,2026-05-20 17:44:45.609022
02313.HK,申洲国际,申洲国际集团控股有限公司,Shenzhou International Group Holdings Limited,2005-11-24,,主板,HKD,L,2026-05-20 17:44:45.609022,2026-05-20 17:44:45.609022
02314.HK,理文造纸,理文造纸有限公司,Lee & Man Paper Manufacturing Limited,2003-09-26,,主板,HKD,L,2026-05-20 17:44:45.609022,2026-05-20 17:44:45.609022
